,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Cocoa Level,Number_of_Ingredients,Ingredient Level,Rating,Rating Level,Ingredients_abbr,Most Memorable Characteristics
696,French Broad,U.S.A.,2015,Guatemala,Guatemala,0.73,Mid percent,2,2,3.5,Mid-level,"B,S","roasty, grapes, rich brownie"
697,Map Chocolate,U.S.A.,2015,Honduras,Le Chocolat Chaud,0.78,High percent,3,3,3.5,Mid-level,"B,S,C","grassy, woody, sweet"
698,Starchild,U.S.A.,2015,Ecuador,"Bolivar, Arriba",0.7,Mid percent,4,4,3.0,Mid-level,"B,S*,C,V","coconut, mild vanilla"
699,Dick Taylor,U.S.A.,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","sticky, rich, cherry"
710,Taste Artisan aka Coleman and Davis,U.S.A.,2015,Madagascar,Sambirano,0.75,High percent,4,4,3.0,Mid-level,"B,S,C,V","berry, spices, smoke"
725,DeVries,U.S.A.,2007,Costa Rica,Costa Rica,0.77,High percent,2,2,3.5,Mid-level,"B,S","red berry, lingering coffee"
726,DeVries,U.S.A.,2007,Dominican Republic,Dominican Republic,0.77,High percent,2,2,3.5,Mid-level,"B,S","sticky, woodsy, rum"
737,Glennmade,U.S.A.,2015,Brazil,Bahia,0.66,Mid percent,2,2,3.0,Mid-level,"B,S","mild woody, black licorice"
757,Starchild,U.S.A.,2015,Dominican Republic,Hispaniola,0.7,Mid percent,4,4,3.0,Mid-level,"B,S*,C,V","coconut, cocoa, few grits"
758,Starchild,U.S.A.,2015,Guatemala,Cacao Verapaz,0.7,Mid percent,4,4,3.0,Mid-level,"B,S*,C,V","dried fruit, coconut, few grits"
759,Starchild,U.S.A.,2015,Nicaragua,Rio Tuma,0.7,Mid percent,4,4,3.0,Mid-level,"B,S*,C,V","brownie, few grits, sandy"
761,Harper Macaw,U.S.A.,2015,Brazil,Brazil Blend,0.67,Mid percent,3,3,3.0,Mid-level,"B,S,C","sandy, sweet, dried fruit"
762,Starchild,U.S.A.,2015,Madagascar,Sambirano Valley,0.7,Mid percent,4,4,3.0,Mid-level,"B,S*,C,V","red fruit, coconut"
767,Dean and Deluca (Belcolade),U.S.A.,2007,Madagascar,Madagascar,0.66,Mid percent,4,4,2.5,Mid-level,"B,S,C,V","sandy, cloying, rich cocoa"
768,Harper Macaw,U.S.A.,2015,Brazil,"Tome Acu E., Amazon Rainforest",0.77,High percent,3,3,3.5,Mid-level,"B,S,C","rich chocolate, sweet edge"
769,Harper Macaw,U.S.A.,2015,Brazil,"Vale do Juliana E., Atlantic Forest",0.74,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich chocolate, sandy texture"
770,twenty-four blackbirds,U.S.A.,2015,Dominican Republic,Oko Caribe,0.75,High percent,2,2,2.75,Mid-level,"B,S","spicy, sour, off note"
771,twenty-four blackbirds,U.S.A.,2015,Ecuador,"Cedeno, lot 271",0.75,High percent,2,2,3.5,Mid-level,"B,S","intense, floral"
776,Raaka,U.S.A.,2015,Congo,Virunga,0.75,High percent,3,3,2.75,Mid-level,"B,S,C","refined, honey, rubber"
779,Dark Forest,U.S.A.,2016,Bolivia,Bolivia,0.75,High percent,3,3,3.25,Mid-level,"B,S,C","mild cherry, fatty"
784,TCHO,U.S.A.,2016,Blend,West Africa,0.62,Mid percent,5,5,2.0,Lowest,"B,S,C,V,L","strong vanilla, sweet, fatty"
789,Vivra,U.S.A.,2016,Peru,Peru,0.7,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,L","pungent, metallic"
790,Vivra,U.S.A.,2016,Venezuela,Ocumare,0.7,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,L","nutty, off notes"
791,Arete,U.S.A.,2016,Trinidad,San Juan,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","delicate, simple"
792,Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","appealing smoke, woody"
793,Vivra,U.S.A.,2016,Dominican Republic,Dominican Republic,0.7,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L","sweet, simple, cocoa"
794,Castronovo,U.S.A.,2016,Belize,"Maya Mtn, Batch 454, Heirloom",0.72,Mid percent,3,3,4.0,Highest,"B,S,C","bright fruit, molasses, nutty"
795,Letterpress,U.S.A.,2016,Liberia,Liberia,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","floral, black licorice"
796,Mayacama,U.S.A.,2016,Dominican Republic,Hispaniola,0.72,Mid percent,2,2,3.0,Mid-level,"B,S","gritty, sweet, earthy"
797,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,0.6,Mid percent,3,3,2.75,Mid-level,"B,S,C","powdery, sweet, molasses"
798,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,0.6,Mid percent,3,3,3.0,Mid-level,"B,S,C","dry, sweet, caramel"
799,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,0.6,Mid percent,3,3,2.5,Mid-level,"B,S,C","sandy, sweet, pungent"
800,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,0.6,Mid percent,3,3,2.5,Mid-level,"B,S,C","sandy, sweet, sour, off"
801,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,0.6,Mid percent,3,3,2.75,Mid-level,"B,S,C","sandy, nutty, earthy, roasty"
803,Creo,U.S.A.,2016,Ecuador,"""heirloom"", Arriba Nacional",0.85,High percent,3,3,3.25,Mid-level,"B,S,C","oily, mild bitter, nutty, fruit"
804,Creo,U.S.A.,2016,Ecuador,"""heirloom"", Arriba Nacional",0.73,Mid percent,3,3,3.75,Mid-level,"B,S,C","creamy, complex, fruity"
809,Two Ravens,U.S.A.,2016,Peru,Peru,0.6,Mid percent,3,3,3.0,Mid-level,"B,S,C","coarse, sweet, lemon"
810,Blue Bandana,U.S.A.,2016,Madagascar,"Akesson's E., Sambirano V.",0.82,High percent,2,2,3.5,Mid-level,"B,S","sandy, tart, sour, sweet"
811,Heirloom Cacao Preservation (Manoa),U.S.A.,2016,U.S.A.,"O'ahu Island, Maunawili, Agri Research C., 2015",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","astringent, smoke, cream"
812,Heirloom Cacao Preservation (Millcreek),U.S.A.,2016,Ecuador,"Los Rios, Hacienda Limon, Orecao, 2015",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C",floral
813,Heirloom Cacao Preservation (Zokoko),U.S.A.,2016,Bolivia,"Alto Beni, Upper Rio Beni, 2015",0.68,Mid percent,3,3,3.75,Mid-level,"B,S,C","creamy, mild nutty & woody"
814,Heirloom Cacao Preservation (Zokoko),U.S.A.,2016,Bolivia,"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",0.72,Mid percent,3,3,4.0,Highest,"B,S,C","dark berry, honey, cream"
815,Heirloom Cacao Preservation (Brasstown),U.S.A.,2016,Belize,"Maya Mtn, Moho R., Toledo D., 2015",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","pungent raisin, metallic"
816,Heirloom Cacao Preservation (Fruition),U.S.A.,2016,Costa Rica,"Cota Brus, Terciopelo, 2015",0.74,Mid percent,3,3,3.5,Mid-level,"B,S,C","mostly earthy, mild dried fruit"
817,Heirloom Cacao Preservation (Mindo),U.S.A.,2016,Ecuador,"Pinchincha, Mindo, Coop Nueva Esper., 2015",0.77,High percent,3,3,3.5,Mid-level,"B,S,C","strong floral, black licorice"
818,Rogue,U.S.A.,2016,Honduras,"La Masica, Batch 1, FHIA Research Center",0.75,High percent,2,2,3.75,Mid-level,"B,S","robust, tart, roasty"
819,Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","smooth, astringent, cocoa"
820,Dean and Deluca (Belcolade),U.S.A.,2007,Costa Rica,Costa Rica,0.64,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","dark coffee, cocoa"
821,Dean and Deluca (Belcolade),U.S.A.,2007,Ecuador,Ecuador,0.71,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","cinamon, nutmeg, coffee"
822,Dean and Deluca (Belcolade),U.S.A.,2007,Ghana,Ghana,0.6,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","nutty, simple, sweet"
823,Amano,U.S.A.,2007,Venezuela,Ocumare,0.7,Mid percent,4,4,3.75,Mid-level,"B,S,C,V","spicy, strawberry"
824,Upchurch,U.S.A.,2016,Madagascar,"Madagascar, Sassy Bar",0.72,Mid percent,2,2,3.0,Mid-level,"B,S","sweet, acidic, tart"
825,Upchurch,U.S.A.,2016,Tanzania,"Tanzania, Party Bar",0.72,Mid percent,2,2,3.25,Mid-level,"B,S","sandy, sweet, peach"
826,Blue Bandana,U.S.A.,2016,Guatemala,Lachua,0.75,High percent,2,2,2.75,Mid-level,"B,S","roasty, coffee, earthy"
827,Blue Bandana,U.S.A.,2016,Tanzania,Kokoa Kamili,0.75,High percent,2,2,3.5,Mid-level,"B,S","bready, melon"
831,Blue Bandana,U.S.A.,2016,Dominican Republic,Zorzal Reserva,0.75,High percent,2,2,3.0,Mid-level,"B,S","astringent, sour, coffee"
834,Chocolate Con Amor,U.S.A.,2016,Bolivia,Wild Bolivian,0.7,Mid percent,2,2,2.5,Mid-level,"B,S","gritty, molasses, earthy"
835,Chocolate Con Amor,U.S.A.,2016,Uganda,Uganda,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","roasty, cocoa, molasses"
836,Chocolate Con Amor,U.S.A.,2016,Dominican Republic,Dominican Republic,0.6,Mid percent,2,2,3.0,Mid-level,"B,S","gritty, sweet, molasses"
837,Chocolate Con Amor,U.S.A.,2016,Dominican Republic,Dominican Republic,0.75,High percent,2,2,3.0,Mid-level,"B,S","sandy, rich, roasty, earthy"
838,Chocolate Con Amor,U.S.A.,2016,Venezuela,Ocumare,0.8,High percent,2,2,3.0,Mid-level,"B,S","gritty, nutty, caramel"
839,Chocolate Con Amor,U.S.A.,2016,Ecuador,Ecuador,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","molasses, tart, floral"
843,Chocolate Con Amor,U.S.A.,2016,Nicaragua,Nicaragua,0.8,High percent,2,2,2.75,Mid-level,"B,S","nutty, roasty, bitter"
844,Pinellas,U.S.A.,2016,Honduras,Wampusirpi Region,0.8,High percent,4,4,2.5,Mid-level,"B,S,V,L","banana, earthy ending"
845,Chocolate Alchemist-Philly,U.S.A.,2016,Peru,"Tumbes, ""Zarumilla""",0.9,High percent,2,2,2.5,Mid-level,"B,S*","sticky, bitter, molasses, tart"
846,Chocolate Alchemist-Philly,U.S.A.,2016,Blend,"Philly Blend, 5 plantations",0.8,High percent,2,2,2.5,Mid-level,"B,S*","sticky, coconut, sour, bitter"
852,Fruition,U.S.A.,2016,Bolivia,"Wild Bolivian, Batch 2",0.74,Mid percent,2,2,3.75,Mid-level,"B,S","oily, tropical"
853,Fruition,U.S.A.,2016,Costa Rica,"Coto Brus, Heirloom, Batch 1",0.74,Mid percent,2,2,4.0,Highest,"B,S","oily, dried fruit, leather"
854,Askinosie,U.S.A.,2016,Tanzania,Mababa,0.68,Mid percent,3,3,3.75,Mid-level,"B,S,C","creamy, rich, blueberry"
856,L'Amourette,U.S.A.,2016,Nicaragua,Rugoso,0.8,High percent,2,2,3.5,Mid-level,"B,S","spicy, grassy, roasty"
857,Beehive,U.S.A.,2016,Brazil,"Brazil, Batch 20316",0.8,High percent,3,3,2.75,Mid-level,"B,S,C","intense, bitter, dry"
858,Beehive,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 31616",0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","sandy, sweet, molasses"
859,Beehive,U.S.A.,2016,Ecuador,"Ecuador, Batch 31516",0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","intense, floral, black pepper"
861,Raaka,U.S.A.,2016,Peru,"Amazon Basin Blend- SMartin,Pangoa,nacional",0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","pungent, green, citrus"
863,Beehive,U.S.A.,2016,Ecuador,Ecuador,0.9,High percent,3,3,2.75,Mid-level,"B,S,C","intense floral, bitter, earthy"
872,Taza,U.S.A.,2007,Dominican Republic,"Dark, Stone Ground",0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","sandy, sour banana, sweet"
873,Dean and Deluca (Belcolade),U.S.A.,2007,Papua New Guinea,Papua New Guinea,0.64,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","waxy, tobacco, smokey"
874,Dean and Deluca (Belcolade),U.S.A.,2007,Peru,Peru,0.64,Mid percent,4,4,3.0,Mid-level,"B,S,C,V","mild mint, basic cocoa"
876,Bellflower,U.S.A.,2016,Tanzania,"Kokao Kamili, Kilombero Valley",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","sticky, delicate, melon"
879,Bellflower,U.S.A.,2016,Bolivia,"Alto Beni, Palos Blanco",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","oily, complex, pungent"
880,Cao,U.S.A.,2016,Venezuela,Porcelana,0.75,High percent,3,3,2.5,Mid-level,"B,S,C","nutty, burnt, fuel"
881,Cao,U.S.A.,2016,Tanzania,Tanzania,0.73,Mid percent,3,3,2.75,Mid-level,"B,S,C","sweet, acidic, fatty"
882,Cao,U.S.A.,2016,Venezuela,"Porcelana, Batch 5163",0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C",strong nutty with off notes
883,Harper Macaw,U.S.A.,2016,Brazil,"Vale do Juliana, w/ nibs",0.85,High percent,3,3,3.25,Mid-level,"B,S,C","powdery, rich, coffee, roasty"
885,Cao,U.S.A.,2016,Bolivia,Bolivia,0.75,High percent,3,3,3.0,Mid-level,"B,S,C","sandy, bold, cherry"
886,Cao,U.S.A.,2016,Brazil,Brazil,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","dairy, chocolate, mild fruit"
888,Sol Cacao,U.S.A.,2016,Ecuador,"Ecuador, Batch 1",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","intense, simple, floral, earthy"
894,Dandelion,U.S.A.,2016,Dominican Republic,"Zorzal Reserva, 2015 H., Kerchner",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","cherry, rich choco"
895,Potomac,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte Province, 2016 H.",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","dense, rich, nuanced"
917,Theo,U.S.A.,2007,Ivory Coast,Ivory Coast,0.75,High percent,4,4,2.5,Mid-level,"B,S,C,V","dry, gritty, hint of fruit, sour"
918,Theo,U.S.A.,2007,Ghana,"Ghana, Kumasi",0.84,High percent,4,4,3.0,Mid-level,"B,S,C,V","dry, slightly tart, bitter"
919,K'ul,U.S.A.,2016,Haiti,"Kafupbo, Petit Bourg, De Borgnes",0.7,Mid percent,4,4,3.25,Mid-level,"B,S,C,L","spicy, vanilla, dairy"
920,Batch,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 3",0.65,Mid percent,3,3,3.5,Mid-level,"B,S,C","creamy, sweet, fudgey"
927,Glennmade,U.S.A.,2016,Belize,"Toledo District, 2015 Harvest",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","mild strawberry, cocoa"
931,Animas,U.S.A.,2016,Bolivia,Alto Beni,0.75,High percent,2,2,3.5,Mid-level,"B,S","light roast, caramel, cocoa"
932,K'ul,U.S.A.,2016,Peru,"Maranon, Fortunato No. 4",0.7,Mid percent,4,4,2.75,Mid-level,"B,S,C,L","astringent, unbalanced, off"
933,K'ul,U.S.A.,2016,Brazil,"Bahia, Fazenda Camboa",0.7,Mid percent,4,4,3.75,Mid-level,"B,S,C,L","creamy, mild flavors"
934,K'ul,U.S.A.,2016,Ecuador,"Los Rios, Hacienda Limon, Heirloom",0.7,Mid percent,4,4,3.75,Mid-level,"B,S,C,L",oranges
937,Parliament,U.S.A.,2016,Tanzania,Kilombero Valley,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","sour, earthy, roasty"
940,Ritual,U.S.A.,2016,Ecuador,"Camino Verde P., Balao, 2015 harvest, batch8",0.75,High percent,2,2,3.75,Mid-level,"B,S","floral, bourbon, balanced"
942,Cacao Market,U.S.A.,2016,Honduras,"Jutiapa, lot 050916D",0.7,Mid percent,4,4,3.5,Mid-level,"B,S,C,L","deep cocoa, fatty, dairy"
945,Bellflower,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte P.",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","caramel, mild dried fruit"
946,Dick Taylor,U.S.A.,2016,Vietnam,Tien Giang,0.78,High percent,2,2,3.5,Mid-level,"B,S","tropical berry, intense"
947,Batch,U.S.A.,2016,Brazil,Brazil,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","strawberry, candy flavor"
949,Brasstown aka It's Chocolate,U.S.A.,2016,Venezuela,"Guasare, Zulia Prov.",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","nutty, slight hammy, rich"
950,Brasstown aka It's Chocolate,U.S.A.,2016,Nicaragua,"O'payo, Waslala",0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","simple, rich cocoa"
958,Scharffen Berger,U.S.A.,2007,Blend,Antilles (Trin/Gren/DR/Ven),0.75,High percent,5,5,3.0,Mid-level,"B,S,C,V,L","smooth,complex,cocoa base"
959,Theo,U.S.A.,2007,Venezuela,"Venezuela; Barinos, Merida, Tachron",0.91,High percent,2,2,2.0,Lowest,"B,S","dry, very bland, mild bitter"
960,Theo,U.S.A.,2007,Blend,"Ghana, Panama, Ecuador",0.75,High percent,3,3,3.0,Mid-level,"B,S,C","sandy, sweet, fruity"
962,Batch,U.S.A.,2016,Ecuador,Ecuador,0.65,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, floral, sweet"
977,Map Chocolate,U.S.A.,2016,Vietnam,"Ben Tre, Surprise Valley",0.75,High percent,3,3,3.25,Mid-level,"B,S,C","intense, sour, tart"
978,Mutari,U.S.A.,2016,Dominican Republic,"Oko Caribe, batch 1 SRB",0.71,Mid percent,2,2,2.75,Mid-level,"B,S","gritty, sweet, earthy"
979,Mutari,U.S.A.,2016,Tanzania,"Kokoa Kamili, batch 1 SRB",0.68,Mid percent,2,2,2.75,Mid-level,"B,S","dry, earthy, atypical"
980,Arete,U.S.A.,2016,Vietnam,Tien Giang,0.73,Mid percent,3,3,3.5,Mid-level,"B,S,C","cashew, roasty, chunky melt"
981,Mutari,U.S.A.,2016,Madagascar,"Ambanja, batch 1 SRB",0.68,Mid percent,2,2,2.75,Mid-level,"B,S","sweet, molasses, gritty"
982,Mutari,U.S.A.,2016,Vietnam,"Tien Giang, batch 1 SRB",0.8,High percent,2,2,3.0,Mid-level,"B,S","gritty, tart, molasses"
983,Charm School,U.S.A.,2016,Belize,Maya Mtn,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","slightly metallic, woody, berry"
984,Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sticky, floral, roasty"
985,Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","chewy, mild floral"
986,Arete,U.S.A.,2016,Guatemala,Lachua,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","subtle, mysterious"
987,Arete,U.S.A.,2016,Nicaragua,Rugoso,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","muddy, rich cocoa, raspberry"
988,Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","nutty, green"
989,Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",0.7,Mid percent,2,2,4.0,Highest,"B,S","balanced, cherry, choco"
993,Wm,U.S.A.,2016,Venezuela,"Guasare, Zulia Prov., 2015, batch 124",0.74,Mid percent,3,3,3.0,Mid-level,"B,S,C","nutty, rubber"
994,Wm,U.S.A.,2016,Bolivia,"Wild Beniano, 2016, batch 128, Heirloom",0.76,High percent,3,3,3.5,Mid-level,"B,S,C","nutty, fig, short length"
996,Wm,U.S.A.,2016,Ghana,"Ghana, 2013, batch 129",0.75,High percent,3,3,3.75,Mid-level,"B,S,C","strong malt, choco pudding"
997,Confluence,U.S.A.,2016,Vietnam,"Tien Giang, 2015, batch 10-2-16",0.78,High percent,2,2,2.75,Mid-level,"B,S","woody, nutty, off sour note"
999,ENNA,U.S.A.,2016,Honduras,"Wampusirpi, batch 007",0.75,High percent,2,2,3.25,Mid-level,"B,S","carrots, heavy roast"
1005,DAR,U.S.A.,2016,Venezuela,"Venezuela, batch 122",0.72,Mid percent,2,2,2.75,Mid-level,"B,S","nut, tobacco, burnt, off notes"
1006,DAR,U.S.A.,2016,Vietnam,Vietnam,0.72,Mid percent,2,2,3.0,Mid-level,"B,S","raisins, astringent"
1007,DAR,U.S.A.,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","floral, licorice, roasty"
1008,Goodnow Farms,U.S.A.,2016,Mexico,"Almendra Blanca, batch 1004",0.77,High percent,3,3,2.75,Mid-level,"B,S,C","sour off flavor, nutty, earthy"
1009,Goodnow Farms,U.S.A.,2016,Guatemala,"Asochivite, batch 1005",0.77,High percent,3,3,3.25,Mid-level,"B,S,C","sweet edge, bright fruit, sour"
1010,Goodnow Farms,U.S.A.,2016,Nicaragua,"El Carmen, batch 1003",0.77,High percent,3,3,3.25,Mid-level,"B,S,C","mild molasses, rich, gateway"
1011,Arete,U.S.A.,2016,Peru,Phantom,0.7,Mid percent,2,2,4.0,Highest,"B,S","creamy, complex, balanced"
1012,Arete,U.S.A.,2016,Fiji,Matasawalevu,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","smoke, hammy, cocoa base"
1013,Arete,U.S.A.,2016,Vietnam,Lam Dong,0.73,Mid percent,2,2,3.25,Mid-level,"B,S","earthy, nutty, cardboard"
1014,Arete,U.S.A.,2016,Dominican Republic,Elvesia,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","dark berry, chocolatey"
1015,Dalloway,U.S.A.,2017,Dominican Republic,"Dominican Republic, batch 7",0.72,Mid percent,2,2,2.75,Mid-level,"B,S","hammy, sour, astringent"
1017,Spencer,U.S.A.,2017,Peru,Peru,0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C","floral, earthy, burnt rubber"
1018,Spencer,U.S.A.,2017,Ecuador,Ecuador,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","floral, astringent"
1019,Spencer,U.S.A.,2017,Dominican Republic,Dominican Republic,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","sandy, robust, grapes, malt"
1024,French Broad,U.S.A.,2017,Peru,"Norandino, batch 161208",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","slight dry, citrus, grapefruit"
1025,Madre,U.S.A.,2017,Solomon Islands,Guadalcanal,0.73,Mid percent,2,2,3.5,Mid-level,"B,S","mild earthy, mild cocoa, nut"
1034,Xocolla,U.S.A.,2017,Dominican Republic,"Hispaniola, batch 170104",0.7,Mid percent,2,2,2.5,Mid-level,"B,S","spciy, cardamom, off flavor"
1035,Xocolla,U.S.A.,2017,Madagascar,"Sambirano, batch 170102",0.7,Mid percent,2,2,2.75,Mid-level,"B,S","sour milk, molasses, sweet"
1036,Letterpress,U.S.A.,2017,Belize,"Maya Mtn, Batch 18, Heirloom",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","smokey, mild berry"
1037,Letterpress,U.S.A.,2017,Honduras,"La Masica, Batch 7, FHIA",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","strong raspberry, mocha"
1039,Dick Taylor,U.S.A.,2017,Guatemala,Lanquin Estate,0.7,Mid percent,2,2,3.75,Mid-level,"B,S","blackberry, raisns"
1041,Map Chocolate,U.S.A.,2017,Vietnam,"Lam Dong, ""Red Poppy""",0.73,Mid percent,2,2,3.0,Mid-level,"B,S","earthy, tobacco, ashey"
1043,Castronovo,U.S.A.,2017,Venezuela,"Patanemo, batch 539",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","nutty, roasty, caramel"
1044,Patric,U.S.A.,2007,Madagascar,Madagascar,0.7,Mid percent,3,3,4.0,Highest,"B,S,C","mild tart, wine, red fruit, long"
1058,Johnny Iuzzini,U.S.A.,2017,Venezuela,"Ocumare, Cuyagua",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","dairy, nutty, butterscotch"
1059,Landmark (Amano),U.S.A.,2017,Bolivia,"Tranquilidad, Itinez Province",0.74,Mid percent,3,3,3.75,Mid-level,"B,S,C","well balanced, melon"
1061,Dick Taylor,U.S.A.,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009",0.75,High percent,2,2,3.75,Mid-level,"B,S","sticky, roasty nibs, grapes"
1062,Johnny Iuzzini,U.S.A.,2017,Jamaica,Mount Pleasant,0.67,Mid percent,4,4,3.0,Mid-level,"B,S,C,L","candy like, sweet, dairy"
1063,Johnny Iuzzini,U.S.A.,2017,Peru,"San Martin, Oro Verde",0.75,High percent,4,4,3.0,Mid-level,"B,S,C,L","floral, tobacco, candied"
1064,Johnny Iuzzini,U.S.A.,2017,Vietnam,"Tien Giang, Mekong Delta",0.65,Mid percent,4,4,3.5,Mid-level,"B,S,C,L","sweet, fruity, vanilla"
1066,Johnny Iuzzini,U.S.A.,2017,Ecuador,Camino Verde P.,0.7,Mid percent,4,4,3.5,Mid-level,"B,S,C,L","floral, bourbon, salt"
1067,Bar Au Chocolat,U.S.A.,2017,Costa Rica,"Turrialba, Cartago P.",0.72,Mid percent,2,2,3.5,Mid-level,"B,S","slightly dry, cocoa, berry"
1068,Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,0.8,High percent,2,2,3.5,Mid-level,"B,S","intense, tangy, alcohol"
1069,Brasstown aka It's Chocolate,U.S.A.,2017,Dominican Republic,Elvesia P.,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","earthy, cherries"
1070,Letterpress,U.S.A.,2017,Peru,Ucayali,0.7,Mid percent,3,3,4.0,Highest,"B,S,C","mild, licorice, coffee, cocoa"
1072,Brasstown aka It's Chocolate,U.S.A.,2017,Ecuador,Manabi,0.75,High percent,3,3,3.75,Mid-level,"B,S,C","sandy, floral, honey"
1078,TCHO,U.S.A.,2008,Ghana,Chocolatey-beta,0.7,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,L","gritty,sweet,swiss miss,vanilla"
1082,Solstice,U.S.A.,2017,Tanzania,Kilombero ,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sticky, strong molasses"
1085,twenty-four blackbirds,U.S.A.,2017,Tanzania,Kokoa Kamili,0.75,High percent,2,2,3.25,Mid-level,"B,S","dry, floral, woody"
1087,Boho,U.S.A.,2017,Belize,Maya Mtn,0.7,Mid percent,3,3,2.75,Mid-level,"B,S,C",pungent off flavor
1088,Fresh Coast,U.S.A.,2017,Brazil,"Fazenda Camboa, Bahia",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","creamy, fragrant"
1089,Fresh Coast,U.S.A.,2017,Tanzania,"Kokoa Kamili, Kilombero District",0.7,Mid percent,2,2,3.75,Mid-level,"B,S","creamy, simple, strong choco"
1096,Indi,U.S.A.,2017,Vietnam,Lam Dong,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","molasses, roasty"
1097,Johnny Iuzzini,U.S.A.,2017,Madagascar,"Sambirano Valley, Batch 7",0.68,Mid percent,5,5,3.5,Mid-level,"B,S,C,V,L","vanilla, gateway"
